topology,adoption_fraction,oracle_r,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
cycle,0.25,0.65,0.954,0.006624499981130654,154.2,0.001,0.045,1000
cycle,0.25,0.7,0.965,0.005811626278418119,153.56,0.001,0.034,1000
cycle,0.25,0.75,0.981,0.004317290817167639,153.335,0.002,0.017,1000
cycle,0.25,0.8,0.988,0.003443254274665176,154.159,0.001,0.011,1000
cycle,0.25,0.85,0.992,0.0028170906978654425,153.271,0.0,0.008,1000
cycle,0.25,0.9,0.994,0.002442130217658347,152.943,0.002,0.004,1000
cycle,0.25,0.95,0.996,0.0019959959919799443,157.607,0.003,0.001,1000
cycle,0.25,1.0,0.999,0.0009994998749374613,159.81,0.001,0.0,1000
cycle,0.5,0.0,0.001,0.0009994998749374609,569.39,0.698,0.301,1000
cycle,0.5,0.05,0.003,0.001729450779872038,568.939,0.698,0.299,1000
cycle,0.5,0.1,0.008,0.0028170906978654416,569.273,0.699,0.293,1000
cycle,0.5,0.15,0.01,0.003146426544510455,568.444,0.697,0.293,1000
cycle,0.5,0.2,0.016,0.003967870965643918,577.915,0.709,0.275,1000
cycle,0.5,0.25,0.029,0.005306505441436953,580.541,0.712,0.259,1000
cycle,0.5,0.3,0.064,0.007739767438366608,591.82,0.718,0.218,1000
cycle,0.5,0.35,0.176,0.012042591083317577,530.435,0.611,0.213,1000
cycle,0.5,0.4,0.417,0.015592017188292218,430.315,0.4,0.183,1000
cycle,0.5,0.45,0.716,0.014259873772232349,304.317,0.141,0.143,1000
cycle,0.5,0.5,0.879,0.010313049985334114,188.641,0.017,0.104,1000
cycle,0.5,0.55,0.937,0.007683163410991592,134.337,0.001,0.062,1000
cycle,0.5,0.6,0.963,0.005969170796685251,121.771,0.0,0.037,1000
cycle,0.5,0.65,0.978,0.004638534251247911,108.22,0.0,0.022,1000
cycle,0.5,0.7,0.989,0.0032983329122452166,109.53,0.0,0.011,1000
cycle,0.5,0.75,0.994,0.002442130217658347,103.275,0.002,0.004,1000
cycle,0.5,0.8,0.998,0.0014127986409959495,101.634,0.001,0.001,1000
cycle,0.5,0.85,1.0,0.0,96.914,0.0,0.0,1000
cycle,0.5,0.9,1.0,0.0,96.264,0.0,0.0,1000
cycle,0.5,0.95,1.0,0.0,93.237,0.0,0.0,1000
cycle,0.5,1.0,1.0,0.0,93.064,0.0,0.0,1000
cycle,0.75,0.0,0.0,0.0,369.17,0.437,0.563,1000
cycle,0.75,0.05,0.0,0.0,380.546,0.449,0.551,1000
cycle,0.75,0.1,0.001,0.0009994998749374609,395.173,0.469,0.53,1000
cycle,0.75,0.15,0.004,0.001995995991979944,405.502,0.479,0.517,1000
cycle,0.75,0.2,0.004,0.001995995991979944,440.042,0.515,0.481,1000
cycle,0.75,0.25,0.014,0.003715373467095872,460.681,0.541,0.445,1000
cycle,0.75,0.3,0.035,0.005811626278418116,480.595,0.567,0.398,1000
cycle,0.75,0.35,0.091,0.009094998625618368,494.179,0.582,0.327,1000
cycle,0.75,0.4,0.258,0.013836039895866157,471.736,0.502,0.24,1000
cycle,0.75,0.45,0.588,0.01556457516284977,340.4,0.244,0.168,1000
cycle,0.75,0.5,0.868,0.010704017937204702,170.392,0.016,0.116,1000
cycle,0.75,0.55,0.939,0.007568289106528638,116.742,0.0,0.061,1000
cycle,0.75,0.6,0.975,0.004937104414532877,91.625,0.0,0.025,1000
cycle,0.75,0.65,0.992,0.0028170906978654425,77.658,0.0,0.008,1000
cycle,0.75,0.7,0.998,0.0014127986409959495,67.862,0.0,0.002,1000
cycle,0.75,0.75,1.0,0.0,62.933,0.0,0.0,1000
cycle,0.75,0.8,0.999,0.0009994998749374613,56.916,0.0,0.001,1000
cycle,0.75,0.85,1.0,0.0,55.723,0.0,0.0,1000
cycle,0.75,0.9,1.0,0.0,53.021,0.0,0.0,1000
cycle,0.75,0.95,1.0,0.0,49.657,0.0,0.0,1000
cycle,0.75,1.0,1.0,0.0,49.26,0.0,0.0,1000
cycle,1.0,0.0,0.0,0.0,27.915,0.0,1.0,1000
cycle,1.0,0.05,0.0,0.0,34.446,0.0,1.0,1000
cycle,1.0,0.1,0.001,0.0009994998749374609,42.75,0.0,0.999,1000
cycle,1.0,0.15,0.001,0.0009994998749374609,64.441,0.002,0.997,1000
cycle,1.0,0.2,0.002,0.0014127986409959489,110.046,0.025,0.973,1000
cycle,1.0,0.25,0.01,0.003146426544510455,189.739,0.115,0.875,1000
cycle,1.0,0.3,0.028,0.005216895628628198,302.625,0.284,0.688,1000
cycle,1.0,0.35,0.071,0.008121514637061242,384.789,0.424,0.505,1000
cycle,1.0,0.4,0.228,0.013267102170406317,418.93,0.45,0.322,1000
cycle,1.0,0.45,0.576,0.015627667772255716,325.24,0.229,0.195,1000
cycle,1.0,0.5,0.847,0.011383804285035824,178.128,0.03,0.123,1000
cycle,1.0,0.55,0.933,0.007906389820898028,101.571,0.0,0.067,1000
cycle,1.0,0.6,0.962,0.006046155803483734,70.517,0.0,0.038,1000
cycle,1.0,0.65,0.981,0.004317290817167639,55.532,0.0,0.019,1000
cycle,1.0,0.7,0.994,0.002442130217658347,45.477,0.0,0.006,1000
cycle,1.0,0.75,0.996,0.0019959959919799443,37.362,0.0,0.004,1000
cycle,1.0,0.8,0.999,0.0009994998749374613,33.029,0.0,0.001,1000
cycle,1.0,0.85,1.0,0.0,29.381,0.0,0.0,1000
cycle,1.0,0.9,1.0,0.0,25.956,0.0,0.0,1000
cycle,1.0,0.95,1.0,0.0,23.331,0.0,0.0,1000
cycle,1.0,1.0,1.0,0.0,21.94,0.0,0.0,1000
